"Job.Titles","Department","Annual.Salary"
"LIEUTENANT","POLICE",142296
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",58932
"POLICE OFFICER","POLICE",106170
"AVIATION SECURITY OFFICER","AVIATION",55932
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",66984
"POLICE COMMUNICATIONS OPERATOR II","OEMC",67284
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",106170
"AVIATION SURVEILLANCE SPECIALIST","AVIATION",46836
"CLERK III","BUSINESS AFFAIRS",37224
"POLICE OFFICER","POLICE",54672
"COORDINATING PLANNER","HOUSING & ECON DEV",106668
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",98904
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",95586
"CLINICAL THERAPIST III","HEALTH",111816
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"HUMAN SERVICE SPECIALIST II","FAMILY & SUPPORT",89388
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",86730
"PARAMEDIC I/C","FIRE",101052
"PARAMEDIC I/C","FIRE",104430
"ADVANCE","MAYOR'S OFFICE",65928
"FIREFIGHTER-EMT","FIRE",94152
"AIRPORT OPERATIONS SUPVSR II","AVIATION",76980
"DEPUTY COMMISSIONER","HUMAN RESOURCES",132480
"PROJECT COORD","HEALTH",63780
"GRAPHIC ARTIST III","PUBLIC LIBRARY",58320
"POLICE OFFICER","POLICE",98940
"ADMINISTRATIVE ASST III","AVIATION",81468
"STAFF ASST","AVIATION",70152
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",109236
"PURCHASING MANAGER","PUBLIC LIBRARY",125088
"POLICE OFFICER","POLICE",98940
"FIREFIGHTER-EMT","FIRE",102372
"LEGISLATIVE AIDE","CITY COUNCIL",70308
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICY ANALYST","HEALTH",88308
"AMBULANCE COMMANDER","FIRE",143076
"FIREFIGHTER-EMT","FIRE",105936
"EXEC ADMINISTRATIVE ASST II","HEALTH",66804
"PARALEGAL II","LAW",98016
"ADMINISTRATIVE SERVICES OFFICER I","PUBLIC SAFETY ADMIN",61020
"POLICE COMMUNICATIONS OPERATOR II","OEMC",98892
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"CAPTAIN-EMT","FIRE",151764
"POLICE COMMUNICATIONS OPERATOR I","OEMC",55932
"PARAMEDIC FIELD CHIEF","FIRE",156396
"SENIOR DATA ENTRY OPERATOR","POLICE",70860
"POLICE OFFICER","POLICE",106170
"PARAMEDIC","FIRE",80448
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",62712
"SERGEANT","POLICE",122568
"LIEUTENANT","POLICE",142296
"LEGISLATIVE AIDE","CITY COUNCIL",61800
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"TIMEKEEPER - CPD","PUBLIC SAFETY ADMIN",85344
"POLICE OFFICER","POLICE",102372
"LIEUTENANT","FIRE",123420
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"DETENTION AIDE","POLICE",71436
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",95586
"AVIATION SAFETY MGMT SYSTEM DIR","AVIATION",114384
"POLICE OFFICER","POLICE",78024
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",86730
"COORDINATING PLANNER","HOUSING & ECON DEV",91896
"POLICE OFFICER","POLICE",54672
"ANIMAL CARE AIDE I","ANIMAL CONTRL",44808
"POLICE OFFICER","POLICE",86730
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"ADMINISTRATIVE ASST II","PROCUREMENT",44808
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER","FIRE",108036
"SERGEANT","POLICE",130596
"SUPERVISING POLICE COMMUNICATIONS OPERATOR","OEMC",109872
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",82458
"STAFF ASST","ANIMAL CONTRL",63972
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ELECTRICAL MECHANIC - SALARIED","PUBLIC SAFETY ADMIN",106080
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"LIEUTENANT","FIRE",123420
"SR RECOVERY TEAM PROGRAM MGR","HEALTH",123864
"CIVIL ENGINEER IV","AVIATION",101472
"POLICE OFFICER","POLICE",106170
"LICENSING ENFORCEMENT AIDE - CITY CLERK","CITY CLERK",74280
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",95586
"SUPVR OF BUSINESS COMPLIANCE INVESTIGATIONS","BUSINESS AFFAIRS",99228
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",102372
"POLICE COMMUNICATIONS OPERATOR II","OEMC",82092
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER","FIRE",108036
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"DETENTION AIDE","POLICE",74844
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"ASST COMMISSIONER","HUMAN RESOURCES",109908
"POLICE OFFICER","POLICE",95586
"SUPVSR OF ACCOUNTING","FINANCE",106152
"PROJECT MANAGER","HOUSING & ECON DEV",90120
"SENIOR HELP DESK TECHNICIAN","DAIS",102732
"AUDITOR II","FINANCE",76344
"POLICE OFFICER","POLICE",106170
"PROGRAM DEVELOPMENT COORD","FAMILY & SUPPORT",70152
"ADMINISTRATIVE SERVICES OFFICER II","AVIATION",76992
"ADMINISTRATIVE SERVICES OFFICER I","FINANCE",63972
"SENIOR LEGISLATIVE ASST","MAYOR'S OFFICE",90084
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",118068
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"AIRPORT FACILITIES MANAGER","AVIATION",89532
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",95586
"COORDINATING ENGINEER II","WATER MGMNT",125088
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",106170
"LIBRARY CLERK","PUBLIC LIBRARY",40164
"ASST TO THE ALDERMAN","CITY COUNCIL",69348
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"PARAMEDIC","FIRE",80448
"PROJECT COORD","HOUSING & ECON DEV",75996
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",110196
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"ADMINISTRATIVE ASST III","BUILDINGS",77772
"POLICE COMMUNICATIONS OPERATOR I","OEMC",55932
"COORDINATING PLANNER","HEALTH",92832
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"SENIOR EMERGENCY MANAGEMENT COORD","OEMC",80652
"POLICE OFFICER","POLICE",54672
"LIBRARIAN I","PUBLIC LIBRARY",58044
"PROJECT MANAGER - BUILDINGS","BUILDINGS",122112
"PROJECTS ADMINISTRATOR","BUILDINGS",105624
"DETENTION AIDE","POLICE",78384
"POLICE OFFICER","POLICE",95586
"SANITATION CLERK","STREETS & SAN",77736
"POLICE OFFICER","POLICE",54672
"DISTRICT MANAGER - HUMAN SERVICES","FAMILY & SUPPORT",103920
"POLICE OFFICER","POLICE",90990
"CLERK IV","POLICE",77772
"ASST CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",135684
"POLICE OFFICER","POLICE",106170
"AMBULANCE COMMANDER","FIRE",138828
"PROPERTY CUSTODIAN","PUBLIC SAFETY ADMIN",55620
"POLICE OFFICER","POLICE",95586
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",90990
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER","FIRE",108096
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",94152
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"LIEUTENANT-EMT","FIRE",130908
"GENERAL MANAGER OF AIRPORT OPERATIONS","AVIATION",114384
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",114654
"SENIOR CLERK-ELECTIONS","BOARD OF ELECTION",37536
"AVIATION SECURITY OFFICER","AVIATION",86016
"AIRPORT OPERATIONS SUPVSR I","AVIATION",66972
"SERGEANT","POLICE",126504
"ALDERMAN","CITY COUNCIL",122304
"DIRECTOR OF FINANCE","PUBLIC SAFETY ADMIN",126456
"SANITARIAN II","HEALTH",102732
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"PARAMEDIC","FIRE",80448
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"DETENTION AIDE","POLICE",78384
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"PLUMBING INSPECTOR","WATER MGMNT",114138
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"PARAMEDIC","FIRE",62466
"SERGEANT","POLICE",130596
"SERGEANT","POLICE",126504
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"CERTIFICATION - COMPLIANCE OFFICER","PROCUREMENT",70428
"CLINICAL THERAPIST III","POLICE",84084
"POLICE OFFICER","POLICE",95586
"POLICE COMMUNICATIONS OPERATOR II","OEMC",94368
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"DIGITAL FORENSIC ANALYST - COPA","COPA",66984
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",123660
"CAPTAIN-EMT","FIRE",151764
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",102372
"MANAGER OF VEHICLE ADJUSTMENTS","DAIS",104544
"STAFF ASST","ADMIN HEARNG",59184
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",102372
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"FILTRATION ENGINEER IV","WATER MGMNT",92844
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"LIEUTENANT-EMT","FIRE",130908
"CLERK IV - TIMEKEEPER","WATER MGMNT",61020
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",103866
"POLICE OFFICER","POLICE",95586
"PROJECT COORD","HOUSING & ECON DEV",73332
"POLICE OFFICER","POLICE",102372
"PARKING ENFORCEMENT AIDE","FINANCE",54072
"POLICE OFFICER","POLICE",109236
"POLICE COMMUNICATIONS OPERATOR I","OEMC",82092
"CULTURAL AFFAIRS COORD II","CULTURAL AFFAIRS",78672
"POLICE OFFICER","POLICE",95586
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"EMERGENCY MANAGEMENT COMMUNICATIONS OFFICER","OEMC",74280
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",90990
"SENIOR DATA ENTRY OPERATOR","AVIATION",70860
"POLICE OFFICER","POLICE",90990
"CAPTAIN-EMT","FIRE",151764
"LIBRARY CLERK","PUBLIC LIBRARY",38376
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY OFFICER","AVIATION",94368
"POLICE OFFICER","POLICE",109236
"SUPERVISING INVESTIGATOR-COPA","COPA",101580
"POLICE OFFICER","POLICE",102372
"CAPTAIN-EMT","FIRE",147258
"BRIDGE OPERATOR","TRANSPORTN",85308
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",54672
"FIRE ENGINEER-EMT","FIRE",118830
"CIVIL ENGINEER V","TRANSPORTN",115752
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"PARAMEDIC I/C","FIRE",104430
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"CLERK III","STREETS & SAN",64620
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",102372
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"AIRPORT OPERATIONS SUPVSR I","AVIATION",85308
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",121656
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",98904
"ASST CORPORATION COUNSEL II","LAW",106440
"DIR OF 311 CITY SERVICES","OEMC",160428
"DIR OF WORKERS COMPENSATION","FINANCE",133176
"PERSONNEL ASSISTANT","PUBLIC SAFETY ADMIN",58872
"POLICE OFFICER","POLICE",90990
"PARALEGAL II","LAW",85344
"ASST CORPORATION COUNSEL I","LAW",73440
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"PROGRAM AUDITOR II","FAMILY & SUPPORT",98016
"LEAD ACCOUNTANT","FINANCE",111816
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"PARAMEDIC","FIRE",62466
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",109236
"SUPVSR OF PERSONNEL SERVICES","PROCUREMENT",103920
"ADMINISTRATIVE ASST II","PUBLIC LIBRARY",67668
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",109236
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",44808
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",95586
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",48420
"FIELD SERVICE SPECIALIST II","TRANSPORTN",70104
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",110766
"ADMINISTRATIVE ASST II","TRANSPORTN",77772
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE COMMUNICATIONS OPERATOR I","OEMC",71448
"FINGERPRINT TECHNICIAN II","POLICE",85344
"ELDER PROTECTIVE INVESTIGATOR I","FAMILY & SUPPORT",58044
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"FILTRATION ENGINEER III","WATER MGMNT",84084
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",105936
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",102372
"ADMINISTRATIVE ASST II","AVIATION",70860
"EPIDEMIOLOGIST IV","HEALTH",101580
"GRANTS RESEARCH SPECIALIST","PUBLIC SAFETY ADMIN",111816
"MGR OF GRAPHICS & REPRODUCTION CTR","DAIS",120204
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"SUPERVISING PROPERTY CUSTODIAN","POLICE",85344
"POLICE COMMUNICATIONS OPERATOR II","OEMC",94368
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",78024
"LIEUTENANT","POLICE",142296
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"SERGEANT","POLICE",126504
"PARAMEDIC","FIRE",84612
"DEPUTY MAYOR","MAYOR'S OFFICE",178452
"DEPUTY DISTRICT CHIEF","FIRE",175464
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",98940
"SENIOR PROGRAMMER/ANALYST","PUBLIC SAFETY ADMIN",122112
"PROJECT COORD","HOUSING",63780
"FIREFIGHTER","FIRE",108036
"DIR OF ASSESSMENT & SELECTION METHODS","HUMAN RESOURCES",112128
"ASST CORPORATION COUNSEL SUPVSR","LAW",140616
"DIR OF NEWS AFFAIRS","OEMC",128736
"PLUMBING INSPECTOR","WATER MGMNT",114138
"FIRE COMMUNICATIONS OPERATOR II","OEMC",106200
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER/PARAMEDIC","FIRE",91872
"SENIOR COMPUTER CONSOLE OPERATOR","BUILDINGS",77772
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",114822
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",121680
"FIREFIGHTER-EMT","FIRE",98904
"STAFF ASST","TRANSPORTN",102732
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"POLICE OFFICER","POLICE",102372
"LIEUTENANT","FIRE",127410
"BATTALION CHIEF - EMT","FIRE",165858
"BATTALION CHIEF-PARAMEDIC","FIRE",169830
"AMBULANCE COMMANDER","FIRE",134736
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE COMMUNICATIONS OPERATOR I","OEMC",78384
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",106170
"PARALEGAL II","LAW",102732
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",130596
"TRAFFIC SIGNAL REPAIRMAN","TRANSPORTN",117624
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR)","FIRE",127410
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",68424
"PARAMEDIC I/C","FIRE",91662
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",115026
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"LIEUTENANT-EMT","FIRE",130908
"STREET LIGHT REPAIR WORKER","TRANSPORTN",117624
"PROJECT MANAGER","HEALTH",90084
"FIREFIGHTER/PARAMEDIC","FIRE",96402
"LIBRARIAN I","PUBLIC LIBRARY",84936
"LIBRARY CLERK","PUBLIC LIBRARY",38376
"SERGEANT","POLICE",130596
"SERGEANT","POLICE",126504
"SENIOR CITY FORESTER","STREETS & SAN",102516
"FIREFIGHTER-EMT","FIRE",98904
"STRUCTURAL ENGINEER","BUILDINGS",106044
"POLICE TECHNICIAN","POLICE",107490
"POLICE OFFICER","POLICE",98940
"CAPTAIN-EMT","FIRE",151764
"DETENTION AIDE","POLICE",86016
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"DETENTION AIDE","POLICE",65064
"DETENTION AIDE","POLICE",65064
"CLERK IV - TIMEKEEPER","WATER MGMNT",85344
"POLICE OFFICER","POLICE",90990
"DEPUTY COMMISSIONER","FAMILY & SUPPORT",126348
"SERGEANT","POLICE",126504
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"ELECTION EQUIPMENT & SUPPLY SPEC I","BOARD OF ELECTION",30060
"POLICE OFFICER","POLICE",90990
"STAFF ASSISTANT - EXCLUDED","BUDGET & MGMT",78672
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","POLICE",146652
"TIMEKEEPER - CPD","PUBLIC SAFETY ADMIN",49176
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"STAFF ASST","OEMC",89388
"FIRE COMMUNICATIONS OPERATOR I","OEMC",56868
"FIELD SUPVSR I - PARKING ENFORCEMENT","FINANCE",50964
"MAJOR CASE SPECIALIST-COPA","COPA",85764
"PROPERTY CUSTODIAN","PUBLIC SAFETY ADMIN",77772
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER","FIRE",99876
"ASST CORPORATION COUNSEL SUPVSR","LAW",111504
"TRAFFIC SIGNAL REPAIRMAN","TRANSPORTN",117624
"PARAMEDIC FIELD CHIEF","FIRE",151860
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"SERGEANT","POLICE",122568
"ADMINISTRATIVE ASST II","ADMIN HEARNG",48420
"FIRE ENGINEER-PARAMEDIC","FIRE",121656
"PARAMEDIC I/C","FIRE",101052
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIREFIGHTER-EMT","FIRE",105936
"BATTALION CHIEF - EMT","FIRE",165858
"BATTALION CHIEF - EMT","FIRE",165858
"AMBULANCE COMMANDER","FIRE",134736
"PROJECT COORD","BUILDINGS",94704
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"LIEUTENANT-EMT","FIRE",130908
"DIVISION SUPERINTENDENT","STREETS & SAN",125088
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"FIRE COMMUNICATIONS OPERATOR II","OEMC",106200
"SUPERVISING ANIMAL CARE CLERK","ANIMAL CONTRL",58320
"SENIOR ARCHIVAL SPECIALIST","PUBLIC LIBRARY",80172
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",71220
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",122568
"YOUTH SERVICES COORD","POLICE",71280
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"COMMANDER","POLICE",175944
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"DIR OF ADMINISTRATIVE SERVICES","COPA",89208
"WARD SUPERINTENDENT","STREETS & SAN",98220
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"FIREFIGHTER-EMT","FIRE",105936
"MASON INSPECTOR","WATER MGMNT",111113.64
"CHIEF","POLICE",200472
"POLICE OFFICER","POLICE",102372
"BATTALION CHIEF - EMT","FIRE",165858
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIREFIGHTER/PARAMEDIC","FIRE",112812
"ASST CORPORATION COUNSEL I","LAW",66924
"FIREFIGHTER/PARAMEDIC","FIRE",117324
"FIREFIGHTER-EMT","FIRE",102372
"LIEUTENANT-EMT","FIRE",135144
"FIREFIGHTER-EMT","FIRE",105936
"LIEUTENANT-EMT","FIRE",135144
"ELECTRICAL INSPECTOR","BUILDINGS",110160
"REFUSE COLLECTION COORD","STREETS & SAN",97980
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"CAPTAIN-EMT","FIRE",147258
"CAPTAIN-EMT","FIRE",147258
"LIEUTENANT-EMT","FIRE",130908
"SERGEANT","POLICE",130596
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"PERFORMANCE ANALYST","INSPECTOR GEN",72960
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",109236
"ASST CORPORATION COUNSEL SUPVSR","LAW",140616
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY OFFICER","AVIATION",78384
"DEPUTY CORPORATION COUNSEL","LAW",155712
